40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,3,2,2,4,4,3,4,3,3,3,4,2,3,3,2,3,3,4,3,2,2,3,4,2,2,4,2,2,4,4,3,3,2,3,3,4,3,3,4,2,4,3,3,4,2,4,4,3,4,4,4,2,4,3,3,2,-4,-4
-4,-4,-4,-4,4,4,4,2,2,2,3,4,2,4,4,2,4,2,3,4,3,2,4,3,2,2,2,4,2,3,3,3,4,2,3,2,3,2,2,2,2,2,4,4,4,3,4,2,2,2,4,2,4,2,2,4,3,2,2,2,-4,-4
-4,-4,-4,-4,4,3,2,3,2,3,4,4,4,4,4,4,4,2,2,2,3,4,4,3,2,2,4,3,3,2,4,3,2,2,2,4,4,4,4,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,4,2,4,2,4,2,-4,-4
-4,-4,-4,-4,4,3,2,3,3,4,2,4,2,2,3,4,3,2,2,4,2,4,3,4,4,2,2,3,2,2,3,3,3,3,3,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-91,-2,-2,-2,-2,-2,4,2,4,2,2,3,-4,-4
-4,-4,-4,-4,2,4,3,3,2,3,4,3,4,3,4,4,3,2,2,4,4,4,4,3,2,2,4,2,3,3,2,3,3,4,2,3,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-91,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,4,2,3,2,2,3,4,2,2,4,2,4,2,3,2,3,2,2,3,4,3,3,2,4,4,4,3,4,2,3,3,4,3,4,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-91,-2,-2,3,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4
